Date,AAPL
10/14/2020 16:00:00,121.19
10/15/2020 16:00:00,120.71
10/16/2020 16:00:00,119.02
10/19/2020 16:00:00,115.98
10/20/2020 16:00:00,117.51
10/21/2020 16:00:00,116.87
10/22/2020 16:00:00,115.75
10/23/2020 16:00:00,115.04
10/26/2020 16:00:00,115.05
10/27/2020 16:00:00,116.6
10/28/2020 16:00:00,111.2
10/29/2020 16:00:00,115.32
10/30/2020 16:00:00,108.86
11/02/2020 16:00,108.77
11/03/2020 16:00,110.44
11/04/2020 16:00,114.95
11/05/2020 16:00,119.03
11/06/2020 16:00,118.69
11/09/2020 16:00,116.32
11/10/2020 16:00,115.97
11/11/2020 16:00,119.49
11/12/2020 16:00,119.21
11/13/2020 16:00:00,119.26
11/16/2020 16:00:00,120.3
11/17/2020 16:00:00,119.39
11/18/2020 16:00:00,118.03
11/19/2020 16:00:00,118.64
11/20/2020 16:00:00,117.34
11/23/2020 16:00:00,113.85
11/24/2020 16:00:00,115.17
11/25/2020 16:00:00,116.03
11/27/2020 13:00:00,116.59
11/30/2020 16:00:00,119.05
12/01/2020 16:00,122.72
12/02/2020 16:00,123.08
12/03/2020 16:00,122.94
12/04/2020 16:00,122.25
12/07/2020 16:00,123.75
12/08/2020 16:00,124.38
12/09/2020 16:00,121.78
12/10/2020 16:00,123.24
12/11/2020 16:00,122.41
12/14/2020 16:00:00,121.78
12/15/2020 16:00:00,127.88
12/16/2020 16:00:00,127.81
12/17/2020 16:00:00,128.7
12/18/2020 16:00:00,126.66
12/21/2020 16:00:00,128.23
12/22/2020 16:00:00,131.88
12/23/2020 16:00:00,130.96
12/24/2020 13:00:00,131.97
12/28/2020 16:00:00,136.69
12/29/2020 16:00:00,134.87
12/30/2020 16:00:00,133.72
12/31/2020 16:00:00,132.69
1/04/2021 16:00,129.41
1/05/2021 16:00,131.01
1/06/2021 16:00,126.6
1/07/2021 16:00,130.92
1/08/2021 16:00,132.05
1/11/2021 16:00,128.98
1/12/2021 16:00,128.8
1/13/2021 16:00:00,130.89
1/14/2021 16:00:00,128.91
1/15/2021 16:00:00,127.14
1/19/2021 16:00:00,127.83
1/20/2021 16:00:00,132.03
1/21/2021 16:00:00,136.87
1/22/2021 16:00:00,139.07
1/25/2021 16:00:00,142.92
1/26/2021 16:00:00,143.16
1/27/2021 16:00:00,142.06
1/28/2021 16:00:00,137.09
1/29/2021 16:00:00,131.96
2/01/2021 16:00,134.14
2/02/2021 16:00,134.99
2/03/2021 16:00,133.94
2/04/2021 16:00,137.39
2/05/2021 16:00,136.76
2/08/2021 16:00,136.91
2/09/2021 16:00,136.01
2/10/2021 16:00,135.39
2/11/2021 16:00,135.13
2/12/2021 16:00,135.37
2/16/2021 16:00:00,133.19
2/17/2021 16:00:00,130.84
2/18/2021 16:00:00,129.71
2/19/2021 16:00:00,129.87
2/22/2021 16:00:00,126
2/23/2021 16:00:00,125.86
2/24/2021 16:00:00,125.35
2/25/2021 16:00:00,120.99
2/26/2021 16:00:00,121.26
3/01/2021 16:00,127.79
3/02/2021 16:00,125.12
3/03/2021 16:00,122.06
3/04/2021 16:00,120.13
3/05/2021 16:00,121.42
3/08/2021 16:00,116.36
3/09/2021 16:00,121.09
3/10/2021 16:00,119.98
3/11/2021 16:00,121.96
3/12/2021 16:00,121.03
3/15/2021 16:00:00,123.99
3/16/2021 16:00:00,125.57
3/17/2021 16:00:00,124.76
3/18/2021 16:00:00,120.53
3/19/2021 16:00:00,119.99
3/22/2021 16:00:00,123.39
3/23/2021 16:00:00,122.54
3/24/2021 16:00:00,120.09
3/25/2021 16:00:00,120.59
3/26/2021 16:00:00,121.21
3/29/2021 16:00:00,121.39
3/30/2021 16:00:00,119.9
3/31/2021 16:00:00,122.15
4/01/2021 16:00,123
4/05/2021 16:00,125.9
4/06/2021 16:00,126.21
4/07/2021 16:00,127.9
4/08/2021 16:00,130.36
4/09/2021 16:00,133
4/12/2021 16:00,131.24
4/13/2021 16:00:00,134.43
4/14/2021 16:00:00,132.03
4/15/2021 16:00:00,134.5
4/16/2021 16:00:00,134.16
4/19/2021 16:00:00,134.84
4/20/2021 16:00:00,133.11
4/21/2021 16:00:00,133.5
4/22/2021 16:00:00,131.94
4/23/2021 16:00:00,134.32
4/26/2021 16:00:00,134.72
4/27/2021 16:00:00,134.39
4/28/2021 16:00:00,133.58
4/29/2021 16:00:00,133.48
4/30/2021 16:00:00,131.46
5/03/2021 16:00,132.54
5/04/2021 16:00,127.85
5/05/2021 16:00,128.1
5/06/2021 16:00,129.74
5/07/2021 16:00,130.21
5/10/2021 16:00,126.85
5/11/2021 16:00,125.91
5/12/2021 16:00,122.77
5/13/2021 16:00:00,124.97
5/14/2021 16:00:00,127.45
5/17/2021 16:00:00,126.27
5/18/2021 16:00:00,124.85
5/19/2021 16:00:00,124.69
5/20/2021 16:00:00,127.31
5/21/2021 16:00:00,125.43
5/24/2021 16:00:00,127.1
5/25/2021 16:00:00,126.9
5/26/2021 16:00:00,126.85
5/27/2021 16:00:00,125.28
5/28/2021 16:00:00,124.61
6/01/2021 16:00,124.28
6/02/2021 16:00,125.06
6/03/2021 16:00,123.54
